2018-12-16 20:33:53 35, 1 user, load average 50.6% 44.5°C normal
2018-12-16 20:35:20 36, 1 user, load average 57.9% 45.0°C normal
2018-12-16 20:35:22 36, 1 user, load average 51.1% 45.5°C normal
2018-12-16 20:35:25 36, 1 user, load average 51.4% 45.5°C normal
2018-12-16 20:38:42 40, 1 user, load average 50.7% 45.5°C normal
2018-12-16 20:39:18 40, 1 user, load average 51.0% 46.0°C normal
2018-12-16 20:39:20 40, 1 user, load average 52.1% 46.5°C normal
2018-12-16 20:39:23 40, 1 user, load average 51.1% 46.5°C normal
2018-12-16 20:39:25 40, 1 user, load average 50.6% 46.0°C normal
2018-12-16 20:39:28 40, 1 user, load average 50.3% 46.5°C normal
2018-12-16 20:39:30 40, 1 user, load average 50.7% 46.5°C normal
2018-12-16 20:39:33 40, 1 user, load average 50.0% 46.5°C normal
2018-12-16 20:39:35 40, 1 user, load average 50.7% 47.0°C normal
2018-12-16 20:39:38 40, 1 user, load average 50.6% 47.0°C normal
2018-12-16 20:39:41 41, 1 user, load average 50.6% 47.5°C normal
2018-12-16 20:39:43 41, 1 user, load average 51.1% 46.5°C normal
2018-12-16 20:39:46 41, 1 user, load average 51.3% 47.0°C normal
2018-12-16 20:39:48 41, 1 user, load average 50.6% 47.5°C normal
2018-12-16 20:39:51 41, 1 user, load average 51.1% 47.0°C normal
2018-12-16 20:39:53 41, 1 user, load average 50.2% 47.5°C normal
